"","name","elected","ideology","list","party_member","party","age","sex","educ"
"1282","encuestado_350",NA,"-0.734041723494035",NA,NA,NA,NA,NA,NA
"1283","encuestado_351",NA,"0.730170960077112",NA,NA,NA,NA,NA,NA
"1284","encuestado_352",NA,"-0.96080924577659",NA,NA,NA,NA,NA,NA
"1285","encuestado_353",NA,"-0.703153525133026",NA,NA,NA,NA,NA,NA
"1286","encuestado_354",NA,"-0.369765669135022",NA,NA,NA,NA,NA,NA
"1287","encuestado_355",NA,"-1.18330628757779",NA,NA,NA,NA,NA,NA
"1288","encuestado_356",NA,"-0.987138567641084",NA,NA,NA,NA,NA,NA
"1289","encuestado_357",NA,"-0.404964179797979",NA,NA,NA,NA,NA,NA
"1290","encuestado_358",NA,"0.851818639941812",NA,NA,NA,NA,NA,NA
"1291","encuestado_359",NA,"0.692848681293853",NA,NA,NA,NA,NA,NA
"1292","encuestado_360",NA,"-0.766724985823315",NA,NA,NA,NA,NA,NA
"1293","encuestado_361",NA,"-0.712545304294342",NA,NA,NA,NA,NA,NA
"1294","encuestado_362",NA,"-0.693939288189805",NA,NA,NA,NA,NA,NA
"1295","encuestado_363",NA,"-1.08102219226929",NA,NA,NA,NA,NA,NA
"1296","encuestado_364",NA,"-0.611346980837333",NA,NA,NA,NA,NA,NA
"1297","encuestado_365",NA,"-0.646663971907428",NA,NA,NA,NA,NA,NA
"1298","encuestado_366",NA,"-1.13187288593508",NA,NA,NA,NA,NA,NA
"1299","encuestado_367",NA,"-0.546503332879577",NA,NA,NA,NA,NA,NA
"1300","encuestado_368",NA,"1.31362742073852",NA,NA,NA,NA,NA,NA
"1301","encuestado_369",NA,"1.11701793453488",NA,NA,NA,NA,NA,NA
"1302","encuestado_370",NA,"-0.795005609253124",NA,NA,NA,NA,NA,NA
"1303","encuestado_371",NA,"-0.684958607291848",NA,NA,NA,NA,NA,NA
"1304","encuestado_372",NA,"1.50143212755908",NA,NA,NA,NA,NA,NA
"1305","encuestado_373",NA,"-0.724076490058541",NA,NA,NA,NA,NA,NA
"1306","encuestado_374",NA,"-0.501492386281847",NA,NA,NA,NA,NA,NA
"1307","encuestado_375",NA,"-1.12285172194407",NA,NA,NA,NA,NA,NA
"1308","encuestado_376",NA,"-0.573592526818859",NA,NA,NA,NA,NA,NA
"1309","encuestado_377",NA,"-0.746382971066527",NA,NA,NA,NA,NA,NA
"1310","encuestado_378",NA,"-1.49309633523793",NA,NA,NA,NA,NA,NA
"1311","encuestado_379",NA,"-1.44442868943584",NA,NA,NA,NA,NA,NA
"1312","encuestado_380",NA,"-0.574064886444964",NA,NA,NA,NA,NA,NA
"1313","encuestado_381",NA,"-1.1855085346867",NA,NA,NA,NA,NA,NA
"1314","encuestado_382",NA,"-0.597375501802162",NA,NA,NA,NA,NA,NA
"1315","encuestado_383",NA,"-0.70842563341757",NA,NA,NA,NA,NA,NA
"1316","encuestado_384",NA,"-0.414094740346605",NA,NA,NA,NA,NA,NA
"1317","encuestado_385",NA,"-0.916130072795143",NA,NA,NA,NA,NA,NA
"1318","encuestado_386",NA,"-0.905008823245213",NA,NA,NA,NA,NA,NA
"1319","encuestado_387",NA,"-0.832436234439266",NA,NA,NA,NA,NA,NA
"1320","encuestado_388",NA,"0.825336939874668",NA,NA,NA,NA,NA,NA
"1321","encuestado_389",NA,"0.0887073001250202",NA,NA,NA,NA,NA,NA
"1322","encuestado_390",NA,"0.868385427587476",NA,NA,NA,NA,NA,NA
"1323","encuestado_391",NA,"0.606190408982139",NA,NA,NA,NA,NA,NA
"1324","encuestado_392",NA,"0.897440486884666",NA,NA,NA,NA,NA,NA
"1325","encuestado_393",NA,"-0.976538589842367",NA,NA,NA,NA,NA,NA
"1326","encuestado_394",NA,"1.23080664548997",NA,NA,NA,NA,NA,NA
"1327","encuestado_395",NA,"-0.695714214390772",NA,NA,NA,NA,NA,NA
"1328","encuestado_396",NA,"-0.851272497368958",NA,NA,NA,NA,NA,NA
"1329","encuestado_397",NA,"-0.806990898871731",NA,NA,NA,NA,NA,NA
"1330","encuestado_398",NA,"-1.12499020959098",NA,NA,NA,NA,NA,NA
"1331","encuestado_399",NA,"-1.07629513440477",NA,NA,NA,NA,NA,NA
"1332","encuestado_400",NA,"-1.0014089383097",NA,NA,NA,NA,NA,NA
"1333","encuestado_401",NA,"-0.808067163214826",NA,NA,NA,NA,NA,NA
"1334","encuestado_402",NA,"-0.932405998294781",NA,NA,NA,NA,NA,NA
"1335","encuestado_403",NA,"-0.449652759484712",NA,NA,NA,NA,NA,NA
"1336","encuestado_404",NA,"0.913745923136932",NA,NA,NA,NA,NA,NA
"1337","encuestado_405",NA,"0.730197729433537",NA,NA,NA,NA,NA,NA
"1338","encuestado_406",NA,"-0.855145894131652",NA,NA,NA,NA,NA,NA
"1339","encuestado_407",NA,"-0.86927127027305",NA,NA,NA,NA,NA,NA
"1340","encuestado_408",NA,"-0.729654955327798",NA,NA,NA,NA,NA,NA
"1341","encuestado_409",NA,"-0.374463557235622",NA,NA,NA,NA,NA,NA
"1342","encuestado_410",NA,"-0.898106721641967",NA,NA,NA,NA,NA,NA
"1343","encuestado_411",NA,"-0.87689939843338",NA,NA,NA,NA,NA,NA
"1344","encuestado_412",NA,"1.09574611066737",NA,NA,NA,NA,NA,NA
"1345","encuestado_413",NA,"1.44435296705164",NA,NA,NA,NA,NA,NA
"1346","encuestado_414",NA,"-0.72960881269861",NA,NA,NA,NA,NA,NA
"1347","encuestado_415",NA,"0.802505023989798",NA,NA,NA,NA,NA,NA
"1348","encuestado_416",NA,"-1.11491153698725",NA,NA,NA,NA,NA,NA
"1349","encuestado_417",NA,"-1.10396164918182",NA,NA,NA,NA,NA,NA
"1350","encuestado_418",NA,"1.35713926097648",NA,NA,NA,NA,NA,NA
"1351","encuestado_419",NA,"-1.42912974229609",NA,NA,NA,NA,NA,NA
"1352","encuestado_420",NA,"1.02979497716799",NA,NA,NA,NA,NA,NA
"1353","encuestado_421",NA,"0.0573068060654553",NA,NA,NA,NA,NA,NA
"1354","encuestado_422",NA,"-0.676069309923282",NA,NA,NA,NA,NA,NA
"1355","encuestado_423",NA,"-0.234128471244354",NA,NA,NA,NA,NA,NA
"1356","encuestado_424",NA,"-0.71959633540915",NA,NA,NA,NA,NA,NA
"1357","encuestado_425",NA,"-0.765921648839453",NA,NA,NA,NA,NA,NA
"1358","encuestado_426",NA,"-0.976879111380585",NA,NA,NA,NA,NA,NA
"1359","encuestado_427",NA,"-0.800268773051712",NA,NA,NA,NA,NA,NA
"1360","encuestado_428",NA,"-1.06170717083102",NA,NA,NA,NA,NA,NA
"1361","encuestado_429",NA,"0.753480654954331",NA,NA,NA,NA,NA,NA
"1362","encuestado_430",NA,"-0.182737373364277",NA,NA,NA,NA,NA,NA
"1363","encuestado_431",NA,"-1.06710162211738",NA,NA,NA,NA,NA,NA
"1364","encuestado_432",NA,"-0.108312431985936",NA,NA,NA,NA,NA,NA
"1365","encuestado_433",NA,"-1.05550747196188",NA,NA,NA,NA,NA,NA
"1366","encuestado_434",NA,"-0.933357143127523",NA,NA,NA,NA,NA,NA
"1367","encuestado_435",NA,"-1.38265799041423",NA,NA,NA,NA,NA,NA
"1368","encuestado_436",NA,"-0.651687694173539",NA,NA,NA,NA,NA,NA
"1369","encuestado_437",NA,"1.29870502851781",NA,NA,NA,NA,NA,NA
"1370","encuestado_438",NA,"-0.487814931393322",NA,NA,NA,NA,NA,NA
"1371","encuestado_439",NA,"-1.344603868333",NA,NA,NA,NA,NA,NA
"1372","encuestado_440",NA,"-0.81869707602645",NA,NA,NA,NA,NA,NA
"1373","encuestado_441",NA,"-1.32113231810277",NA,NA,NA,NA,NA,NA
"1374","encuestado_442",NA,"-0.684308955681346",NA,NA,NA,NA,NA,NA
"1375","encuestado_443",NA,"-0.841121535061376",NA,NA,NA,NA,NA,NA
"1376","encuestado_444",NA,"-0.939430471838305",NA,NA,NA,NA,NA,NA
"1377","encuestado_445",NA,"-1.43525709228076",NA,NA,NA,NA,NA,NA
"1378","encuestado_446",NA,"-1.03605462044739",NA,NA,NA,NA,NA,NA
"1379","encuestado_447",NA,"-0.385966176238753",NA,NA,NA,NA,NA,NA
"1380","encuestado_448",NA,"0.64998805378867",NA,NA,NA,NA,NA,NA
"1381","encuestado_449",NA,"-0.705253732410531",NA,NA,NA,NA,NA,NA
"1382","encuestado_450",NA,"-1.05221275541811",NA,NA,NA,NA,NA,NA
"1383","encuestado_451",NA,"-0.463846926644278",NA,NA,NA,NA,NA,NA
"1384","encuestado_452",NA,"-1.17879923602818",NA,NA,NA,NA,NA,NA
"1385","encuestado_453",NA,"-0.890167725772945",NA,NA,NA,NA,NA,NA
"1386","encuestado_454",NA,"-1.21291501253359",NA,NA,NA,NA,NA,NA
"1387","encuestado_455",NA,"0.800100335217552",NA,NA,NA,NA,NA,NA
"1388","encuestado_456",NA,"-0.775535207411503",NA,NA,NA,NA,NA,NA
"1389","encuestado_457",NA,"0.84236512026637",NA,NA,NA,NA,NA,NA
"1390","encuestado_458",NA,"-0.35405400576411",NA,NA,NA,NA,NA,NA
"1391","encuestado_459",NA,"-0.896203630522751",NA,NA,NA,NA,NA,NA
"1392","encuestado_460",NA,"-0.791419411627621",NA,NA,NA,NA,NA,NA
"1393","encuestado_461",NA,"-0.927814761533911",NA,NA,NA,NA,NA,NA
"1394","encuestado_462",NA,"1.42951838148184",NA,NA,NA,NA,NA,NA
"1395","encuestado_463",NA,"-0.913550434826854",NA,NA,NA,NA,NA,NA
"1396","encuestado_464",NA,"-0.843828525654425",NA,NA,NA,NA,NA,NA
"1397","encuestado_465",NA,"-0.786831956124452",NA,NA,NA,NA,NA,NA
"1398","encuestado_466",NA,"1.57007871043224",NA,NA,NA,NA,NA,NA
"1399","encuestado_467",NA,"-1.11232808653142",NA,NA,NA,NA,NA,NA
"1400","encuestado_468",NA,"-0.91078579945395",NA,NA,NA,NA,NA,NA
"1401","encuestado_469",NA,"-0.807746939509995",NA,NA,NA,NA,NA,NA
"1402","encuestado_470",NA,"0.104889980469589",NA,NA,NA,NA,NA,NA
"1403","encuestado_471",NA,"-0.89221436017152",NA,NA,NA,NA,NA,NA
"1404","encuestado_472",NA,"1.55505611915712",NA,NA,NA,NA,NA,NA
"1405","encuestado_473",NA,"0.685586650312839",NA,NA,NA,NA,NA,NA
"1406","encuestado_474",NA,"-0.471783902502654",NA,NA,NA,NA,NA,NA
"1407","encuestado_475",NA,"-1.01437401469161",NA,NA,NA,NA,NA,NA
"1408","encuestado_476",NA,"-0.857610329642988",NA,NA,NA,NA,NA,NA
"1409","encuestado_477",NA,"-0.41627430329458",NA,NA,NA,NA,NA,NA
"1410","encuestado_478",NA,"-1.27091575560123",NA,NA,NA,NA,NA,NA
"1411","encuestado_479",NA,"-0.591304464682977",NA,NA,NA,NA,NA,NA
"1412","encuestado_480",NA,"-0.774893794246899",NA,NA,NA,NA,NA,NA
"1413","encuestado_481",NA,"0.961616816589764",NA,NA,NA,NA,NA,NA
"1414","encuestado_482",NA,"-0.823835488241722",NA,NA,NA,NA,NA,NA
"1415","encuestado_483",NA,"1.2563324681131",NA,NA,NA,NA,NA,NA
"1416","encuestado_484",NA,"-0.727925958241352",NA,NA,NA,NA,NA,NA
"1417","encuestado_485",NA,"-1.37521956585602",NA,NA,NA,NA,NA,NA
"1418","encuestado_486",NA,"0.573133718601534",NA,NA,NA,NA,NA,NA
"1419","encuestado_487",NA,"0.615132239387676",NA,NA,NA,NA,NA,NA
"1420","encuestado_488",NA,"0.709764128759837",NA,NA,NA,NA,NA,NA
"1421","encuestado_489",NA,"-1.14855898519227",NA,NA,NA,NA,NA,NA
"1422","encuestado_490",NA,"-0.152576433551216",NA,NA,NA,NA,NA,NA
"1423","encuestado_491",NA,"-0.436787281700906",NA,NA,NA,NA,NA,NA
"1424","encuestado_492",NA,"0.9540502022817",NA,NA,NA,NA,NA,NA
"1425","encuestado_493",NA,"-0.218775015375153",NA,NA,NA,NA,NA,NA
"1426","encuestado_494",NA,"1.11339831972148",NA,NA,NA,NA,NA,NA
"1427","encuestado_495",NA,"-1.11783378751187",NA,NA,NA,NA,NA,NA
"1428","encuestado_496",NA,"-0.883577603058212",NA,NA,NA,NA,NA,NA
"1429","encuestado_497",NA,"-1.02126650738512",NA,NA,NA,NA,NA,NA
"1430","encuestado_498",NA,"1.34034388004805",NA,NA,NA,NA,NA,NA
"1431","encuestado_499",NA,"-0.161856740321402",NA,NA,NA,NA,NA,NA
"1432","encuestado_500",NA,"-1.37269221695323",NA,NA,NA,NA,NA,NA
"1433","encuestado_501",NA,"0.890918288791807",NA,NA,NA,NA,NA,NA
"1434","encuestado_502",NA,"1.17973048672567",NA,NA,NA,NA,NA,NA
"1435","encuestado_503",NA,"0.571458246911676",NA,NA,NA,NA,NA,NA
"1436","encuestado_504",NA,"-1.62226596161103",NA,NA,NA,NA,NA,NA
"1437","encuestado_505",NA,"-0.576888309411186",NA,NA,NA,NA,NA,NA
"1438","encuestado_506",NA,"-0.5475745409705",NA,NA,NA,NA,NA,NA
"1439","encuestado_507",NA,"0.675853237650575",NA,NA,NA,NA,NA,NA
"1440","encuestado_508",NA,"-0.297675099284602",NA,NA,NA,NA,NA,NA
"1441","encuestado_509",NA,"-0.982975543664529",NA,NA,NA,NA,NA,NA
"1442","encuestado_510",NA,"-0.845240191581294",NA,NA,NA,NA,NA,NA
"1443","encuestado_511",NA,"1.69310771210615",NA,NA,NA,NA,NA,NA
"1444","encuestado_512",NA,"-1.41999819801725",NA,NA,NA,NA,NA,NA
"1445","encuestado_513",NA,"-0.687851992010156",NA,NA,NA,NA,NA,NA
"1446","encuestado_514",NA,"-1.37930766148319",NA,NA,NA,NA,NA,NA
"1447","encuestado_515",NA,"-0.938731497663639",NA,NA,NA,NA,NA,NA
"1448","encuestado_516",NA,"-0.255724965928263",NA,NA,NA,NA,NA,NA
"1449","encuestado_517",NA,"1.04043825740048",NA,NA,NA,NA,NA,NA
"1450","encuestado_518",NA,"-1.23823452851823",NA,NA,NA,NA,NA,NA
"1451","encuestado_519",NA,"-0.521151106857869",NA,NA,NA,NA,NA,NA
"1452","encuestado_520",NA,"1.11357451026617",NA,NA,NA,NA,NA,NA
"1453","encuestado_521",NA,"-0.390164703160096",NA,NA,NA,NA,NA,NA
"1454","encuestado_522",NA,"0.0567863519735479",NA,NA,NA,NA,NA,NA
"1455","encuestado_523",NA,"-0.995501891199728",NA,NA,NA,NA,NA,NA
"1456","encuestado_524",NA,"1.19463107626631",NA,NA,NA,NA,NA,NA
"1457","encuestado_525",NA,"-1.08630854646669",NA,NA,NA,NA,NA,NA
"1458","encuestado_526",NA,"0.787210001411488",NA,NA,NA,NA,NA,NA
"1459","encuestado_527",NA,"-1.08945657934087",NA,NA,NA,NA,NA,NA
"1460","encuestado_528",NA,"-0.937878977865337",NA,NA,NA,NA,NA,NA
"1461","encuestado_529",NA,"-0.169302678760572",NA,NA,NA,NA,NA,NA
"1462","encuestado_530",NA,"1.2469711040073",NA,NA,NA,NA,NA,NA
"1463","encuestado_531",NA,"0.737674532256619",NA,NA,NA,NA,NA,NA
"1464","encuestado_532",NA,"0.732513676624784",NA,NA,NA,NA,NA,NA
"1465","encuestado_533",NA,"-0.503280708456655",NA,NA,NA,NA,NA,NA
"1466","encuestado_534",NA,"0.803079710242593",NA,NA,NA,NA,NA,NA
"1467","encuestado_535",NA,"-1.78996896443727",NA,NA,NA,NA,NA,NA
"1468","encuestado_536",NA,"-0.536667292783017",NA,NA,NA,NA,NA,NA
"1469","encuestado_537",NA,"0.940017273065646",NA,NA,NA,NA,NA,NA
"1470","encuestado_538",NA,"-0.921656559788117",NA,NA,NA,NA,NA,NA
"1471","encuestado_539",NA,"-0.48085738519962",NA,NA,NA,NA,NA,NA
"1472","encuestado_540",NA,"-1.10192899403793",NA,NA,NA,NA,NA,NA
"1473","encuestado_541",NA,"-0.172417754783162",NA,NA,NA,NA,NA,NA
"1474","encuestado_542",NA,"-0.621276946566513",NA,NA,NA,NA,NA,NA
"1475","encuestado_543",NA,"-0.182959929665537",NA,NA,NA,NA,NA,NA
"1476","encuestado_544",NA,"-1.45905863460232",NA,NA,NA,NA,NA,NA
"1477","encuestado_545",NA,"-0.254376135893947",NA,NA,NA,NA,NA,NA
"1478","encuestado_546",NA,"-0.9495318903666",NA,NA,NA,NA,NA,NA
"1479","encuestado_547",NA,"0.67501987176524",NA,NA,NA,NA,NA,NA
"1480","encuestado_548",NA,"0.885004703744065",NA,NA,NA,NA,NA,NA
"1481","encuestado_549",NA,"-0.942162715277496",NA,NA,NA,NA,NA,NA
"1482","encuestado_550",NA,"-1.32972688418307",NA,NA,NA,NA,NA,NA
"1483","encuestado_551",NA,"-1.12374661834183",NA,NA,NA,NA,NA,NA
"1484","encuestado_552",NA,"-0.181800362033357",NA,NA,NA,NA,NA,NA
"1485","encuestado_553",NA,"1.14131664024188",NA,NA,NA,NA,NA,NA
"1486","encuestado_554",NA,"0.842414652116944",NA,NA,NA,NA,NA,NA
"1487","encuestado_555",NA,"-1.01861511992773",NA,NA,NA,NA,NA,NA
"1488","encuestado_556",NA,"-0.996711138871282",NA,NA,NA,NA,NA,NA
"1489","encuestado_557",NA,"-0.652337897693303",NA,NA,NA,NA,NA,NA
"1490","encuestado_558",NA,"0.901310092282156",NA,NA,NA,NA,NA,NA
"1491","encuestado_559",NA,"1.46525837633515",NA,NA,NA,NA,NA,NA
"1492","encuestado_560",NA,"-0.927527284370127",NA,NA,NA,NA,NA,NA
"1493","encuestado_561",NA,"-0.213627458711329",NA,NA,NA,NA,NA,NA
"1494","encuestado_562",NA,"-0.775830532115533",NA,NA,NA,NA,NA,NA
"1495","encuestado_563",NA,"-0.482951519502185",NA,NA,NA,NA,NA,NA
"1496","encuestado_564",NA,"0.796170927501794",NA,NA,NA,NA,NA,NA
"1497","encuestado_565",NA,"-0.815780039315488",NA,NA,NA,NA,NA,NA
"1498","encuestado_566",NA,"-0.383949421884428",NA,NA,NA,NA,NA,NA
"1499","encuestado_567",NA,"-0.977251592378507",NA,NA,NA,NA,NA,NA
"1500","encuestado_568",NA,"-0.796951793094034",NA,NA,NA,NA,NA,NA
"1501","encuestado_569",NA,"-0.786601323582007",NA,NA,NA,NA,NA,NA
"1502","encuestado_570",NA,"0.928722596774597",NA,NA,NA,NA,NA,NA
"1503","encuestado_571",NA,"-0.995228784502342",NA,NA,NA,NA,NA,NA
"1504","encuestado_572",NA,"-0.848636696303791",NA,NA,NA,NA,NA,NA
"1505","encuestado_573",NA,"-0.686917381946679",NA,NA,NA,NA,NA,NA
"1506","encuestado_574",NA,"1.01021893600397",NA,NA,NA,NA,NA,NA
"1507","encuestado_575",NA,"-0.943006928883118",NA,NA,NA,NA,NA,NA
"1508","encuestado_576",NA,"1.26366998722604",NA,NA,NA,NA,NA,NA
"1509","encuestado_577",NA,"-0.572420004993836",NA,NA,NA,NA,NA,NA
"1510","encuestado_578",NA,"-0.944496190196308",NA,NA,NA,NA,NA,NA
"1511","encuestado_579",NA,"-1.20336288958824",NA,NA,NA,NA,NA,NA
"1512","encuestado_580",NA,"-0.946864126099375",NA,NA,NA,NA,NA,NA
"1513","encuestado_581",NA,"-0.851434276678484",NA,NA,NA,NA,NA,NA
"1514","encuestado_582",NA,"-0.118222813028386",NA,NA,NA,NA,NA,NA
"1515","encuestado_583",NA,"-1.09973131522129",NA,NA,NA,NA,NA,NA
"1516","encuestado_584",NA,"-0.420609853819672",NA,NA,NA,NA,NA,NA
"1517","encuestado_585",NA,"-0.492261514068858",NA,NA,NA,NA,NA,NA
"1518","encuestado_586",NA,"-0.296168447288901",NA,NA,NA,NA,NA,NA
"1519","encuestado_587",NA,"-0.245889862509703",NA,NA,NA,NA,NA,NA
"1520","encuestado_588",NA,"-0.386802644735435",NA,NA,NA,NA,NA,NA
"1521","encuestado_589",NA,"-0.907419860687787",NA,NA,NA,NA,NA,NA
"1522","encuestado_590",NA,"-0.768327069872484",NA,NA,NA,NA,NA,NA
"1523","encuestado_591",NA,"-0.681957123758048",NA,NA,NA,NA,NA,NA
"1524","encuestado_592",NA,"-1.1478057088409",NA,NA,NA,NA,NA,NA
"1525","encuestado_593",NA,"-0.826649173091759",NA,NA,NA,NA,NA,NA
"1526","encuestado_594",NA,"1.50211403095261",NA,NA,NA,NA,NA,NA
"1527","encuestado_595",NA,"-0.888105979207013",NA,NA,NA,NA,NA,NA
"1528","encuestado_596",NA,"1.57890111486802",NA,NA,NA,NA,NA,NA
"1529","encuestado_597",NA,"0.766191245884313",NA,NA,NA,NA,NA,NA
"1530","encuestado_598",NA,"1.26763232862822",NA,NA,NA,NA,NA,NA
"1531","encuestado_599",NA,"-0.552468396034505",NA,NA,NA,NA,NA,NA
"1532","encuestado_600",NA,"-1.12507381984134",NA,NA,NA,NA,NA,NA
"1533","encuestado_601",NA,"-0.283333888253757",NA,NA,NA,NA,NA,NA
"1534","encuestado_602",NA,"-0.153975803622268",NA,NA,NA,NA,NA,NA
"1535","encuestado_603",NA,"0.623119485650551",NA,NA,NA,NA,NA,NA
"1536","encuestado_604",NA,"-0.880759997378271",NA,NA,NA,NA,NA,NA
"1537","encuestado_605",NA,"-0.236441876347481",NA,NA,NA,NA,NA,NA
"1538","encuestado_606",NA,"-1.2182936737601",NA,NA,NA,NA,NA,NA
"1539","encuestado_607",NA,"0.701965882051688",NA,NA,NA,NA,NA,NA
"1540","encuestado_608",NA,"-0.453136151869188",NA,NA,NA,NA,NA,NA
"1541","encuestado_609",NA,"0.969572306968105",NA,NA,NA,NA,NA,NA
"1542","encuestado_610",NA,"1.07936431925311",NA,NA,NA,NA,NA,NA
"1543","encuestado_611",NA,"-0.927425261801354",NA,NA,NA,NA,NA,NA
"1544","encuestado_612",NA,"-0.319483552446013",NA,NA,NA,NA,NA,NA
"1545","encuestado_613",NA,"-0.0502204473649524",NA,NA,NA,NA,NA,NA
"1546","encuestado_614",NA,"1.29747032434651",NA,NA,NA,NA,NA,NA
"1547","encuestado_615",NA,"0.662694215986096",NA,NA,NA,NA,NA,NA
"1548","encuestado_616",NA,"-0.831652952056661",NA,NA,NA,NA,NA,NA
"1549","encuestado_617",NA,"-0.942617956052987",NA,NA,NA,NA,NA,NA
"1550","encuestado_618",NA,"-0.760423122287226",NA,NA,NA,NA,NA,NA
"1551","encuestado_619",NA,"0.789269725416114",NA,NA,NA,NA,NA,NA
"1552","encuestado_620",NA,"0.698098440891661",NA,NA,NA,NA,NA,NA
"1553","encuestado_621",NA,"-0.866602409153481",NA,NA,NA,NA,NA,NA
"1554","encuestado_622",NA,"-0.334285932578508",NA,NA,NA,NA,NA,NA
"1555","encuestado_623",NA,"-0.734602811291468",NA,NA,NA,NA,NA,NA
"1556","encuestado_624",NA,"-0.388298016964931",NA,NA,NA,NA,NA,NA
"1557","encuestado_625",NA,"0.720301249441747",NA,NA,NA,NA,NA,NA
"1558","encuestado_626",NA,"-1.02594057424283",NA,NA,NA,NA,NA,NA
"1559","encuestado_627",NA,"-0.878701055190803",NA,NA,NA,NA,NA,NA
"1560","encuestado_628",NA,"-1.06847299196209",NA,NA,NA,NA,NA,NA
"1561","encuestado_629",NA,"-1.23752089887567",NA,NA,NA,NA,NA,NA
"1562","encuestado_630",NA,"1.44767426533027",NA,NA,NA,NA,NA,NA
"1563","encuestado_631",NA,"-0.489600528844003",NA,NA,NA,NA,NA,NA
"1564","encuestado_632",NA,"-0.585383994871223",NA,NA,NA,NA,NA,NA
"1565","encuestado_633",NA,"1.57559489855437",NA,NA,NA,NA,NA,NA
"1566","encuestado_634",NA,"-1.1716658887528",NA,NA,NA,NA,NA,NA
"1567","encuestado_635",NA,"0.649949589275032",NA,NA,NA,NA,NA,NA
"1568","encuestado_636",NA,"-0.850911108655204",NA,NA,NA,NA,NA,NA
"1569","encuestado_637",NA,"-0.662720082332065",NA,NA,NA,NA,NA,NA
"1570","encuestado_638",NA,"1.16838398511844",NA,NA,NA,NA,NA,NA
"1571","encuestado_639",NA,"0.672988325229022",NA,NA,NA,NA,NA,NA
"1572","encuestado_640",NA,"-0.99392817154614",NA,NA,NA,NA,NA,NA
"1573","encuestado_641",NA,"-0.403797467755051",NA,NA,NA,NA,NA,NA
"1574","encuestado_642",NA,"-0.807038094450341",NA,NA,NA,NA,NA,NA
"1575","encuestado_643",NA,"0.735869134613987",NA,NA,NA,NA,NA,NA
"1576","encuestado_644",NA,"0.922891454713101",NA,NA,NA,NA,NA,NA
"1577","encuestado_645",NA,"-0.688801709011427",NA,NA,NA,NA,NA,NA
"1578","encuestado_646",NA,"-0.667349572181008",NA,NA,NA,NA,NA,NA
"1579","encuestado_647",NA,"1.37192481257831",NA,NA,NA,NA,NA,NA
"1580","encuestado_648",NA,"0.737201504104882",NA,NA,NA,NA,NA,NA
"1581","encuestado_649",NA,"0.722350056900882",NA,NA,NA,NA,NA,NA
"1582","encuestado_650",NA,"-0.507300004821334",NA,NA,NA,NA,NA,NA
"1583","encuestado_651",NA,"0.760490408172673",NA,NA,NA,NA,NA,NA
"1584","encuestado_652",NA,"-1.13529043193413",NA,NA,NA,NA,NA,NA
"1585","encuestado_653",NA,"-0.658848213052705",NA,NA,NA,NA,NA,NA
"1586","encuestado_654",NA,"0.643955166218874",NA,NA,NA,NA,NA,NA
"1587","encuestado_655",NA,"-0.975592430674056",NA,NA,NA,NA,NA,NA
"1588","encuestado_656",NA,"-0.88008472088588",NA,NA,NA,NA,NA,NA
"1589","encuestado_657",NA,"-0.44090020633432",NA,NA,NA,NA,NA,NA
"1590","encuestado_658",NA,"-1.01001795966772",NA,NA,NA,NA,NA,NA
"1591","encuestado_659",NA,"-0.340787328487395",NA,NA,NA,NA,NA,NA
"1592","encuestado_660",NA,"-1.22882755113469",NA,NA,NA,NA,NA,NA
"1593","encuestado_661",NA,"-1.13865833631486",NA,NA,NA,NA,NA,NA
"1594","encuestado_662",NA,"-0.704002433646704",NA,NA,NA,NA,NA,NA
"1595","encuestado_663",NA,"-0.483574949460888",NA,NA,NA,NA,NA,NA
"1596","encuestado_664",NA,"-0.167056036496835",NA,NA,NA,NA,NA,NA
"1597","encuestado_665",NA,"-1.14414964242502",NA,NA,NA,NA,NA,NA
"1598","encuestado_666",NA,"-1.34942121250137",NA,NA,NA,NA,NA,NA
"1599","encuestado_667",NA,"-0.512650219677364",NA,NA,NA,NA,NA,NA
"1600","encuestado_668",NA,"0.826968856827904",NA,NA,NA,NA,NA,NA
"1601","encuestado_669",NA,"-0.860559705941023",NA,NA,NA,NA,NA,NA
"1602","encuestado_670",NA,"-1.15316459552303",NA,NA,NA,NA,NA,NA
"1603","encuestado_671",NA,"-1.43086519050725",NA,NA,NA,NA,NA,NA
"1604","encuestado_672",NA,"-0.901031256672813",NA,NA,NA,NA,NA,NA
"1605","encuestado_673",NA,"-1.19817560774498",NA,NA,NA,NA,NA,NA
"1606","encuestado_674",NA,"-0.879352000870248",NA,NA,NA,NA,NA,NA
"1607","encuestado_675",NA,"-1.00215729945604",NA,NA,NA,NA,NA,NA
"1608","encuestado_676",NA,"-0.724996113157641",NA,NA,NA,NA,NA,NA
"1609","encuestado_677",NA,"-1.05305074521315",NA,NA,NA,NA,NA,NA
"1610","encuestado_678",NA,"0.626928347491972",NA,NA,NA,NA,NA,NA
"1611","encuestado_679",NA,"-0.614935080809569",NA,NA,NA,NA,NA,NA
"1612","encuestado_680",NA,"0.793249081368517",NA,NA,NA,NA,NA,NA
"1613","encuestado_681",NA,"0.929136450601766",NA,NA,NA,NA,NA,NA
"1614","encuestado_682",NA,"-0.957613880282131",NA,NA,NA,NA,NA,NA
"1615","encuestado_683",NA,"-0.871851383107276",NA,NA,NA,NA,NA,NA
